País,Latitud,Longitud,Ventas(Kg) 2000,Ventas(Kg) 2013,Crecimiento(%) Periodo,Crecimiento(%) Anual,IMC 2000,IMC 2013, Promedio IMC
Argentina,-34.6037,-58.3816,194.1,185.6,-4.4,-0.3,20.7,26.8, 23.75
Bolivia,-16.4897,-68.1193,44.6,102.5,129.8,6.6,13.2,18.8,16
Brasil,-15.7801,-47.9292,86,112.3,30.6,2.1,14.5,20.6, 17.55
Chile,-33.4489,-70.6693,125.5,200.6,59.8,3.7,20.6,26.5, 23.55
Colombia,4.7110,-74.0721,73.7,92.2,25.1,1.7,15.4,20.9, 18.15
Ecuador,-0.1807,-78.4678,73.4,87.9,19.8,1.4,13.2,18.5, 15.85
Perú,-12.0464,-77.0428,40.2,83.2,107,5.8,13.5,18.5, 16
Uruguay,-34.9011,-56.1645,60.6,149.3,146.4,7.2,20.6,26.5, 23.55
Venezuela,10.4806,-66.9036,92,99.4,8,0.6,19.4,24.4, 21.9
Paraguay,-23.4425,-58.4438,48.5,72.1,48.5,3.15,32,64.5, 48.25
